Nomer,Kode,Nama,Pusat
No,Kode PTN,Nama PTN,Pusat dan Sub Pusat UTBK
1,111,UNIVERSITAS SYIAH KUALA                           ,UNIVERSITAS SYIAH KUALA
2,112,UNIVERSITAS MALIKUSSALEH                          ,UNIVERSITAS MALIKUSSALEH
3,113,UNIVERSITAS TEUKU UMAR                            ,UNIVERSITAS TEUKU UMAR
4,114,UNIVERSITAS SAMUDRA                               ,UNIVERSITAS SAMUDRA
5,121,UNIVERSITAS SUMATERA UTARA                        ,UNIVERSITAS SUMATERA UTARA
6,131,UNIVERSITAS RIAU                                  ,UNIVERSITAS RIAU
7,133,UNIVERSITAS MARITIM RAJA ALI HAJI                 ,UNIVERSITAS MARITIM RAJA ALI HAJI - TANJUNG PINANG BINTAN
8,142,UNIVERSITAS NEGERI PADANG                         ,UNIVERSITAS NEGERI PADANG
9,151,UNIVERSITAS JAMBI                                 ,UNIVERSITAS JAMBI
10,161,UNIVERSITAS BENGKULU                              ,UNIVERSITAS BENGKULU
11,171,UNIVERSITAS SRIWIJAYA                             ,UNIVERSITAS SRIWIJAYA
12,181,UNIVERSITAS BANGKA BELITUNG                       ,UNIVERSITAS BANGKA BELITUNG - PANGKAL PINANG BANGKA
13,191,UNIVERSITAS LAMPUNG                               ,UNIVERSITAS LAMPUNG
14,311,UNIVERSITAS SULTAN AGENG TIRTAYASA                ,UNIVERSITAS SULTAN AGENG TIRTAYASA - SERANG
UNIVERSITAS SULTAN AGENG TIRTAYASA - TANGERANG,,,
15,321,UNIVERSITAS INDONESIA                             ,UNIVERSITAS INDONESIA
16,331,UNIVERSITAS SINGAPERBANGSA KARAWANG               ,UNIVERSITAS SINGAPERBANGSA KARAWANG
17,334,UNIVERSITAS PENDIDIKAN INDONESIA                  ,UNIVERSITAS PENDIDIKAN INDONESIA - BUMI SILIWANGI
18,341,INSTITUT PERTANIAN BOGOR                          ,INSTITUT PERTANIAN BOGOR
19,342,UNIVERSITAS SILIWANGI                             ,UNIVERSITAS SILIWANGI
20,351,UNIVERSITAS JENDERAL SOEDIRMAN                    ,UNIVERSITAS JENDERAL SOEDIRMAN
21,352,UNIVERSITAS TIDAR                                 ,UNIVERSITAS TIDAR
22,353,UNIVERSITAS SEBELAS MARET                         ,UNIVERSITAS SEBELAS MARET
23,355,UNIVERSITAS DIPONEGORO                            ,UNIVERSITAS DIPONEGORO
24,362,UNIVERSITAS NEGERI YOGYAKARTA                     ,UNIVERSITAS NEGERI YOGYAKARTA
25,371,UNIVERSITAS JEMBER                                ,UNIVERSITAS JEMBER
26,372,UNIVERSITAS BRAWIJAYA                             ,UNIVERSITAS BRAWIJAYA
27,383,UNIVERSITAS NEGERI SURABAYA                       ,UNIVERSITAS NEGERI SURABAYA
28,511,UNIVERSITAS TANJUNGPURA                           ,UNIVERSITAS TANJUNGPURA
29,521,UNIVERSITAS PALANGKARAYA                          ,UNIVERSITAS PALANGKARAYA
30,531,UNIVERSITAS LAMBUNG MANGKURAT                     ,UNIVERSITAS LAMBUNG MANGKURAT
31,541,UNIVERSITAS MULAWARMAN                            ,UNIVERSITAS MULAWARMAN
32,542,INSTITUT TEKNOLOGI KALIMANTAN                     ,INSTITUT TEKNOLOGI KALIMANTAN
33,551,UNIVERSITAS BORNEO TARAKAN                        ,UNIVERSITAS BORNEO TARAKAN
34,611,UNIVERSITAS UDAYANA                               ,UNIVERSITAS UDAYANA
35,612,UNIVERSITAS PENDIDIKAN GANESHA                    ,UNIVERSITAS PENDIDIKAN GANESHA
36,621,UNIVERSITAS MATARAM                               ,UNIVERSITAS MATARAM - LOMBOK
UNIVERSITAS MATARAM - BIMA SUMBAWA,,,
37,631,UNIVERSITAS NUSA CENDANA                          ,UNIVERSITAS NUSA CENDANA
38,632,UNIVERSITAS TIMOR                                 ,UNIVERSITAS TIMOR
39,712,UNIVERSITAS NEGERI MAKASSAR                       ,UNIVERSITAS NEGERI MAKASSAR
40,721,UNIVERSITAS SAM RATULANGI                         ,UNIVERSITAS SAM RATULANGI
41,722,UNIVERSITAS NEGERI MANADO                         ,UNIVERSITAS NEGERI MANADO
42,731,UNIVERSITAS TADULAKO                              ,UNIVERSITAS TADULAKO
43,741,UNIVERSITAS SULAWESI BARAT                        ,UNIVERSITAS SULAWESI BARAT
44,751,UNIVERSITAS HALUOLEO                              ,UNIVERSITAS HALUOLEO
45,752,UNIVERSITAS NEGERI GORONTALO                      ,UNIVERSITAS NEGERI GORONTALO
46,753,UNIVERSITAS SEMBILANBELAS NOVEMBER KOLAKA        ,UNIVERSITAS SEMBILANBELAS NOVEMBER KOLAKA
47,811,UNIVERSITAS PATTIMURA                             ,UNIVERSITAS PATTIMURA
48,821,UNIVERSITAS KHAIRUN                               ,UNIVERSITAS KHAIRUN
